	Source	Length	Incompatibility Group	Predicted Plasmid/ICE	Phylum
NC_021039.1_Ruminococcus_champanellensis_type_strain_18P13T_draft_genome	Genome Set	2573208	N/A	ICE	Firmicutes
NZ_HE978600.1_Brevibacterium_sp._JC43_genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	656854	N/A	ICE	Actinobacteria
UMGS308_SRR4305073_bin.1_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_2_length_160609_cov_25.182281	Genome Set	160609	N/A	ICE	Actinobacteria
NZ_LN909059.1_Paenibacillus_sp._MT18_genome_assembly_Paenibacillus_rubiinfantis__scaffold_scaffold00013__whole_genome_shotgun_sequence	Genome Set	158767	N/A	ICE	Firmicutes
NZ_KE993547.1_Clostridium_sp._ATCC_29733_genomic_scaffold_Scaffold163__whole_genome_shotgun_sequence	Genome Set	70968	N/A	ICE	Firmicutes
UMGS1684_ERR011192_bin.15_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_531_length_12118_cov_26.0167	Genome Set	12118	N/A	ICE	Bacteroidetes
11861_6_58_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.11861_6_58.13	Genome Set	86586	N/A	ICE	Firmicutes
UMGS1833_SRR5963345_bin.25_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Robinsoniella_NODE_121_length_92772_cov_35.719046	Genome Set	92772	N/A	ICE	Firmicutes
12718_7_92_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.12718_7_92.14	Genome Set	93444	N/A	ICE	Firmicutes
14207_6_3_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_.14207_6_3.48	Genome Set	12094	N/A	ICE	Bacteroidetes
UMGS41_SRR5275454_bin.24_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Anaeromassilibacillus_NODE_936_length_17260_cov_35.7004	Genome Set	17260	N/A	ICE	Firmicutes
UMGS341_ERR688549_bin.7_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_23_length_181548_cov_15.209600	Genome Set	181548	N/A	ICE	Firmicutes
NZ_LN849007.1_Clostridium_sp._mt5_genome_assembly_Clostridium_niameyense__scaffold_scaffold00006__whole_genome_shotgun_sequence	Genome Set	2380284	N/A	ICE	Firmicutes
21673_4_19_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.21673_4_19.25	Genome Set	33298	N/A	ICE	Firmicutes
UMGS873_ERR1190965_bin.23_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_225_length_61126_cov_5.384094	Genome Set	61126	N/A	ICE	Firmicutes
NZ_EQ973650.1_Bacteroides_coprophilus_DSM_18228_=_JCM_13818_genomic_scaffold_Scfld22__whole_genome_shotgun_sequence	Genome Set	361429	N/A	ICE	Bacteroidetes
UMGS1689_ERR414250_bin.15_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_49_length_117195_cov_13.406070	Genome Set	117195	N/A	N/A	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.5	Genome Set	175725	N/A	ICE	Firmicutes
8080_1_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_ERS138191.8080_1_93.3	Genome Set	318391	N/A	ICE	Firmicutes
NZ_KQ235847.1_[Clostridium]_bolteae_WAL-14578_genomic_scaffold_supercont1.3__whole_genome_shotgun_sequence	Genome Set	668224	N/A	ICE	Firmicutes
UMGS367_SRR1197541_bin.30_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_34_length_129146_cov_5.963460	Genome Set	129146	N/A	ICE	Tenericutes
12718_7_84_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.12718_7_84.6	Genome Set	272283	N/A	ICE	Firmicutes
20287_6_22_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_.20287_6_22.15	Genome Set	7788	N/A	Plasmid	Firmicutes
UMGS286_SRR2155376_bin.6_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_65_length_90442_cov_6.52492	Genome Set	90442	N/A	ICE	Firmicutes
NZ_LN865152.1_Eubacterium_sp._SB2_genome_assembly_Eubacterium_massiliense__scaffold_scaffold00008__whole_genome_shotgun_sequence	Genome Set	1069380	N/A	ICE	Firmicutes
UMGS835_ERR589530_bin.45_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_432_length_44817_cov_7.826706	Genome Set	44817	N/A	ICE	Bacteroidetes
UMGS680_ERR525961_bin.2_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_1130_length_7758_cov_6.08425	Genome Set	7758	N/A	Plasmid	Firmicutes
20298_2_49_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_.20298_2_49.3	Genome Set	398961	rep_cluster_1663	ICE	Firmicutes
NZ_ACFY01000113.1_Roseburia_inulinivorans_DSM_16841_R_inulinivorans-1.0.1_Cont472.1__whole_genome_shotgun_sequence	Genome Set	69762	N/A	ICE	Firmicutes
14207_7_28_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_28.3	Genome Set	739639	N/A	ICE	Firmicutes
UMGS1175_ERR414243_bin.25_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_389_length_43112_cov_6.831410	Genome Set	43112	N/A	ICE	Firmicutes
NZ_EQ973651.1_Bacteroides_coprophilus_DSM_18228_=_JCM_13818_genomic_scaffold_Scfld23__whole_genome_shotgun_sequence	Genome Set	205697	N/A	ICE	Bacteroidetes
UMGS637_SRR5275454_bin.27_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_275_length_51607_cov_12.2962	Genome Set	51607	N/A	ICE	Firmicutes
NZ_JH636044.1_Bacteroides_sp._3_2_5_genomic_scaffold_supercont2.2__whole_genome_shotgun_sequence	Genome Set	3253542	N/A	ICE	Bacteroidetes
UMGS856_SRR1196456_bin.38_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_154_length_59764_cov_9.216098	Genome Set	59764	N/A	ICE	Firmicutes
NC_010376.1_Finegoldia_magna_ATCC_29328_DNA__complete_genome	Genome Set	1797577	rep_cluster_1663	ICE	Firmicutes
20298_3_37_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Klebsiella_.20298_3_37.1	Genome Set	1166787	N/A	ICE	Proteobacteria
UMGS1441_ERR688506_bin.6_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_NODE_155_length_89211_cov_8.324128	Genome Set	89211	N/A	ICE	Firmicutes
13414_6_20_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.13414_6_20.3	Genome Set	296997	N/A	ICE	Firmicutes
NZ_ABJL02000006.1_Bacteroides_intestinalis_DSM_17393_B_intestinalis-2.0.1_Cont604__whole_genome_shotgun_sequence	Genome Set	574965	N/A	ICE	Bacteroidetes
UMGS185_ERR1912997_bin.34_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_2_length_407589_cov_12.175269	Genome Set	407589	N/A	ICE	Firmicutes
UMGS1430_ERR1305892_bin.72_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_5391_length_5782_cov_4.141435	Genome Set	5782	N/A	Plasmid	Bacteroidetes
NZ_ACFY01000094.1_Roseburia_inulinivorans_DSM_16841_R_inulinivorans-1.0.1_Cont434.1__whole_genome_shotgun_sequence	Genome Set	64111	N/A	ICE	Firmicutes
NZ_GG657974.1_Fusobacterium_sp._3_1_5R_genomic_scaffold_supercont1.4__whole_genome_shotgun_sequence	Genome Set	173616	N/A	ICE	Fusobacteria
NZ_LN869525.1_Intestinimonas_sp._GD2_genome_assembly_Intestinimonas_massiliensis__scaffold_scaffold00003__whole_genome_shotgun_sequence	Genome Set	6430	N/A	Plasmid	Firmicutes
UMGS798_SRR5275432_bin.24_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_706_length_18987_cov_14.977763	Genome Set	18987	N/A	ICE	Firmicutes
12718_7_51_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_.12718_7_51.1	Genome Set	272585	N/A	ICE	Firmicutes
20298_2_23_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20298_2_23.61	Genome Set	3091	N/A	ICE	Bacteroidetes
12718_7_94_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.12718_7_94.10	Genome Set	90751	N/A	ICE	Firmicutes
NZ_DS990163.1_Ruminococcus_lactaris_ATCC_29176_Scfld_02_0_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	172790	N/A	ICE	Firmicutes
13414_6_44_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.13414_6_44.14	Genome Set	77280	N/A	ICE	Firmicutes
NZ_LN908963.1_Ruminococcaceae_bacterium_AM2_genome_assembly_Fournierella_massiliensis__scaffold_scaffold00018__whole_genome_shotgun_sequence	Genome Set	527647	N/A	ICE	Firmicutes
NZ_JALA01000016.1_Providencia_alcalifaciens_PAL-1_ctgN52L138138C40.3604__whole_genome_shotgun_sequence	Genome Set	138138	rep_cluster_1220,rep_cluster_1220	Plasmid	Proteobacteria
UMGS1325_ERR1190866_bin.23_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae_Oscillibacter_NODE_9194_length_3488_cov_4.795805	Genome Set	3488	N/A	N/A	Firmicutes
13414_6_68_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_68.6	Genome Set	245950	N/A	ICE	Firmicutes
UMGS1726_SRR5127498_bin.5_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_Collinsella_NODE_199_length_29094_cov_9.795344	Genome Set	29094	N/A	ICE	Actinobacteria
NZ_HE610717.1_Peptoniphilus_senegalensis_JC140__type_strain_JC140T__genomic_scaffold__scaffold00001__whole_genome_shotgun_sequence	Genome Set	881198	N/A	ICE	Firmicutes
21673_4_18_Firmicutes_Clostridia_Clostridiales_NA_NA_.21673_4_18.11	Genome Set	116466	N/A	ICE	Firmicutes
NZ_GG705131.1_Acinetobacter_radioresistens_SH164_genomic_scaffold_supercont1.1__whole_genome_shotgun_sequence	Genome Set	1059412	N/A	ICE	Proteobacteria
14207_7_83_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_.14207_7_83.14	Genome Set	126902	N/A	ICE	Firmicutes
UMGS670_ERR1190964_bin.38_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_102_length_82748_cov_6.913257	Genome Set	82748	N/A	ICE	Firmicutes
UMGS659_ERR1305881_bin.7_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_225_length_98141_cov_8.194187	Genome Set	98141	N/A	ICE	Bacteroidetes
UMGS1537_ERR1912950_bin.18_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_237_length_36992_cov_4.098979	Genome Set	36992	N/A	ICE	Firmicutes
18048_1_69_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.18048_1_69.13	Genome Set	80451	N/A	ICE	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.9	Genome Set	129942	N/A	ICE	Firmicutes
20287_6_22_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_.20287_6_22.3	Genome Set	424267	N/A	ICE	Firmicutes
NZ_DS264271.1_Eubacterium_ventriosum_ATCC_27560_Scfld029_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	291583	N/A	ICE	Firmicutes
UMGS781_ERR1305892_bin.56_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_NODE_19_length_202163_cov_4.682962	Genome Set	202163	N/A	ICE	Proteobacteria
13414_6_68_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13414_6_68.19	Genome Set	28274	N/A	N/A	Firmicutes
14207_7_89_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_89.45	Genome Set	25877	N/A	N/A	Firmicutes
UMGS1329_ERR1018298_bin.48_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Marvinbryantia_NODE_281_length_34449_cov_4.674362	Genome Set	34449	N/A	N/A	Firmicutes
UMGS1158_DRR042394_bin.56_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_92_length_138196_cov_9.127646	Genome Set	138196	N/A	ICE	Firmicutes
UMGS62_SRR492197_bin.1_Firmicutes_Clostridia_Clostridiales_Clostridiales_Family_XI_Peptoniphilus_NODE_7_length_311400_cov_89.688776	Genome Set	311400	N/A	ICE	Firmicutes
12718_7_47_Firmicutes_Clostridia_Clostridiales_NA_NA_.12718_7_47.7	Genome Set	244531	N/A	ICE	Firmicutes
UMGS1754_ERR505083_bin.47_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_284_length_62423_cov_5.946383	Genome Set	62423	N/A	ICE	Firmicutes
14207_7_83_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_.14207_7_83.19	Genome Set	92189	N/A	ICE	Firmicutes
UMGS1684_ERR011192_bin.15_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_1_length_224553_cov_24.0209	Genome Set	224553	N/A	ICE	Bacteroidetes
UMGS488_SRR5275456_bin.21_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_NODE_306_length_66612_cov_40.2722	Genome Set	66612	N/A	ICE	Firmicutes
UMGS901_SRR6028340_bin.15_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_2073_length_6554_cov_14.184644	Genome Set	6554	N/A	Plasmid	Bacteroidetes
UMGS2_ERR1190731_bin.19_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Dysgonomonas_NODE_8_length_395941_cov_10.0333	Genome Set	395941	N/A	ICE	Bacteroidetes
14207_7_59_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_59.1	Genome Set	1062644	N/A	ICE	Firmicutes
18048_2_67_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.18048_2_67.22	Genome Set	7892	N/A	ICE	Firmicutes
UMGS935_SRR5050584_bin.5_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Anaerosporobacter_NODE_127_length_17077_cov_13.140524	Genome Set	17077	N/A	Plasmid	Firmicutes
8080_1_93_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_ERS138191.8080_1_93.17	Genome Set	49698	N/A	ICE	Firmicutes
UMGS533_ERR1293593_bin.31_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_112_length_55169_cov_4.522408	Genome Set	55169	N/A	N/A	Firmicutes
NZ_GG703855.1_Prevotella_copri_DSM_18205_genomic_scaffold_Scfld3__whole_genome_shotgun_sequence	Genome Set	294362	N/A	ICE	Bacteroidetes
NZ_DS264281.1_Eubacterium_ventriosum_ATCC_27560_Scfld0219_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	62353	N/A	ICE	Firmicutes
UMGS98_SRR1761707_bin.48_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_492_length_27138_cov_4.013883	Genome Set	27138	N/A	ICE	Firmicutes
11861_6_58_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.11861_6_58.2	Genome Set	447767	N/A	ICE	Firmicutes
UMGS1111_ERR414291_bin.37_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_NODE_1318_length_19672_cov_4.305704	Genome Set	19672	N/A	ICE	Bacteroidetes
20287_6_9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20287_6_9.8	Genome Set	294307	N/A	ICE	Bacteroidetes
NZ_KE150408.1_Lachnospiraceae_bacterium_3_1_57FAA_CT1_acsNU-supercont1.4__whole_genome_shotgun_sequence	Genome Set	825043	N/A	ICE	Firmicutes
UMGS1028_SRR341596_bin.15_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_NODE_370_length_24732_cov_2.927909	Genome Set	24732	N/A	ICE	Tenericutes
UMGS777_ERR1305885_bin.21_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_4138_length_10182_cov_8.873901	Genome Set	10182	N/A	ICE	Firmicutes
21673_4_38_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.21673_4_38.1	Genome Set	452966	N/A	ICE	Firmicutes
8080_1_77_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_ERS138175.8080_1_77.31	Genome Set	39515	N/A	N/A	Firmicutes
NZ_GL538231.1_Faecalibacterium_cf._prausnitzii_KLE1255_genomic_scaffold_Scfld25__whole_genome_shotgun_sequence	Genome Set	5889	N/A	N/A	Firmicutes
UMGS491_SRR5275479_bin.22_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_1584_length_12120_cov_8.167592	Genome Set	12120	N/A	N/A	Firmicutes
20298_3_58_Firmicutes_Clostridia_Clostridiales_NA_NA_.20298_3_58.3	Genome Set	313331	N/A	ICE	Firmicutes
UMGS781_ERR1305892_bin.56_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_NODE_118_length_92862_cov_5.324200	Genome Set	92862	N/A	ICE	Proteobacteria
21673_4_71_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_.21673_4_71.16	Genome Set	91041	N/A	ICE	Firmicutes
UMGS207_SRR3917686_bin.8_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_5059_length_2353_cov_6.60879	Genome Set	2353	N/A	ICE	Firmicutes
NZ_ABXA01000002.1_Anaerococcus_hydrogenalis_DSM_7454_A_hydrogenalis-1.0_Cont4.1__whole_genome_shotgun_sequence	Genome Set	73749	rep_cluster_1663	N/A	Firmicutes
UMGS1488_SRR5057076_bin.64_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_NODE_10063_length_4571_cov_1.963242	Genome Set	4571	N/A	ICE	Firmicutes
14207_6_3_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_NA_.14207_6_3.24	Genome Set	39133	N/A	ICE	Bacteroidetes
UMGS941_ERR1190721_bin.6_Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae_Sutterella_NODE_1586_length_10652_cov_3.78239	Genome Set	10652	N/A	ICE	Proteobacteria
NZ_KI270975.1_Faecalitalea_cylindroides_ATCC_27803_Scaffold17__whole_genome_shotgun_sequence	Genome Set	52396	N/A	Plasmid	Tenericutes
21673_4_38_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.21673_4_38.8	Genome Set	164669	N/A	ICE	Firmicutes
20427_4_25_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnobacterium_.20427_4_25.161	Genome Set	392	N/A	Plasmid	Firmicutes
20298_3_57_Actinobacteria_Actinobacteria_Coriobacteriales_Coriobacteriaceae_NA_.20298_3_57.8	Genome Set	149029	N/A	ICE	Actinobacteria
14207_7_56_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_56.16	Genome Set	91338	N/A	ICE	Firmicutes
8080_1_80_Tenericutes_Mollicutes_Erysipelotrichales_Erysipelotrichaceae_Solobacterium_ERS138178.8080_1_80.7	Genome Set	147042	N/A	ICE	Tenericutes
12718_7_84_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_.12718_7_84.2	Genome Set	497218	N/A	ICE	Firmicutes
20287_6_6_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Klebsiella_.20287_6_6.21	Genome Set	43018	N/A	N/A	Proteobacteria
UMGS119_ERR1620292_bin.17_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_NODE_80_length_99411_cov_23.671716	Genome Set	99411	N/A	ICE	Firmicutes
NZ_KI392040.1_Helicobacter_bilis_ATCC_43879_genomic_scaffold_supercont2.9__whole_genome_shotgun_sequence	Genome Set	1014704	N/A	ICE	Proteobacteria
UMGS698_ERR414252_bin.16_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_69_length_121277_cov_35.262263	Genome Set	121277	N/A	ICE	Bacteroidetes
NZ_GL384001.1_Burkholderiales_bacterium_1_1_47_genomic_scaffold_supercont1.10__whole_genome_shotgun_sequence	Genome Set	161238	N/A	ICE	Proteobacteria
13470_2_92_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.13470_2_92.41	Genome Set	34990	N/A	ICE	Firmicutes
NZ_JALB01000021.1_Providencia_alcalifaciens_RIMD_1656011_ctgN83L106367C26.6983__whole_genome_shotgun_sequence	Genome Set	106367	rep_cluster_1220,rep_cluster_1220	N/A	Proteobacteria
UMGS1768_SRR5275462_bin.23_Bacteroidetes_Bacteroidia_Bacteroidales_NA_NA_NODE_7269_length_2598_cov_5.642548	Genome Set	2598	N/A	N/A	Bacteroidetes
UMGS1234_SRR3582140_bin.13_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_275_length_32201_cov_8.704349	Genome Set	32201	N/A	ICE	Firmicutes
UMGS1273_SRR5050585_bin.15_Firmicutes_Clostridia_Clostridiales_Oscillospiraceae_Oscillibacter_NODE_2719_length_4572_cov_5.194598	Genome Set	4572	N/A	N/A	Firmicutes
UMGS1179_ERR1293813_bin.25_Bacteroidetes_Bacteroidia_Bacteroidales_NA_NA_NODE_691_length_20889_cov_3.246040	Genome Set	20889	N/A	ICE	Bacteroidetes
NZ_FMIX01000004.1_Streptococcus_sp._Marseille-P2915__whole_genome_shotgun_sequence	Genome Set	1305823	N/A	ICE	Firmicutes
13414_6_41_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_.13414_6_41.2	Genome Set	610726	N/A	ICE	Firmicutes
UMGS692_ERR1913113_bin.1_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_9_length_124713_cov_10.934212	Genome Set	124713	N/A	ICE	Firmicutes
12718_7_47_Firmicutes_Clostridia_Clostridiales_NA_NA_.12718_7_47.8	Genome Set	222997	N/A	ICE	Firmicutes
UMGS1735_ERR525802_bin.17_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_NA_NODE_631_length_19458_cov_9.56326	Genome Set	19458	N/A	N/A	Firmicutes
UMGS617_ERR011209_bin.1_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_308_length_25784_cov_19.428971	Genome Set	25784	N/A	ICE	Bacteroidetes
UMGS1917_ERR1190590_bin.14_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_261_length_73082_cov_4.949662	Genome Set	73082	N/A	N/A	Firmicutes
14207_7_1_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospira_.14207_7_1.1	Genome Set	557787	N/A	ICE	Firmicutes
UMGS422_SRR5558166_bin.58_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_1374_length_24438_cov_6.163910	Genome Set	24438	N/A	ICE	Bacteroidetes
UMGS618_SRR4408228_bin.21_Firmicutes_Clostridia_Clostridiales_NA_NA_NODE_6320_length_2264_cov_38.9353	Genome Set	2264	N/A	Plasmid	Firmicutes
UMGS630_ERR1620320_bin.42_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_1680_length_14690_cov_33.368090	Genome Set	14690	N/A	ICE	Bacteroidetes
NZ_CYUJ01000003.1_Neofamilia_massiliensis_strain_SIT13__whole_genome_shotgun_sequence	Genome Set	978141	rep_cluster_1663	ICE	Firmicutes
NZ_FMIY01000002.1_Veillonellaceae_bacterium_Marseille-P2911__whole_genome_shotgun_sequence	Genome Set	1611777	N/A	ICE	Firmicutes
14207_7_37_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.14207_7_37.16	Genome Set	86428	N/A	ICE	Firmicutes
UMGS1134_ERR1620298_bin.15_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_9_length_231593_cov_16.395175	Genome Set	231593	N/A	ICE	Firmicutes
NZ_KE161031.1_Cedecea_davisae_DSM_4568_Scaffold1__whole_genome_shotgun_sequence	Genome Set	9581	rep_cluster_1155	Plasmid	Proteobacteria
12718_7_51_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus_.12718_7_51.26	Genome Set	80499	N/A	ICE	Firmicutes
UMGS1158_DRR042394_bin.56_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_NODE_839_length_22246_cov_7.173335	Genome Set	22246	N/A	ICE	Firmicutes
UMGS2007_ERR209576_bin.9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NODE_2787_length_2712_cov_2.838916	Genome Set	2712	N/A	N/A	Bacteroidetes
UMGS200_SRR6028624_bin.16_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_NODE_524_length_12110_cov_5.675653	Genome Set	12110	N/A	N/A	Firmicutes
20287_6_63_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_NA_.20287_6_63.1	Genome Set	749211	N/A	ICE	Firmicutes
UMGS1672_ERR2013583_bin.9_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_19_length_243547_cov_16.212377	Genome Set	243547	N/A	ICE	Firmicutes
20287_6_9_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_.20287_6_9.1	Genome Set	1038870	N/A	ICE	Bacteroidetes
13470_2_67_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Parabacteroides_.13470_2_67.13	Genome Set	32798	rep_cluster_1702	N/A	Bacteroidetes
UMGS278_ERR1190624_bin.64_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NODE_50_length_161053_cov_36.628492	Genome Set	161053	N/A	ICE	Bacteroidetes
UMGS341_ERR688549_bin.7_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_3029_length_8990_cov_18.537101	Genome Set	8990	N/A	ICE	Firmicutes
20298_3_19_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_NA_.20298_3_19.9	Genome Set	133727	IncFIB,IncFII,IncFII	Plasmid	Proteobacteria
UMGS250_SRR2857970_bin.66_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_NODE_272_length_82426_cov_6.271430	Genome Set	82426	N/A	ICE	Proteobacteria
UMGS1576_ERR2013621_bin.20_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium_NODE_235_length_68591_cov_6.536010	Genome Set	68591	N/A	N/A	Firmicutes
14207_7_56_Firmicutes_Clostridia_Clostridiales_NA_NA_.14207_7_56.36	Genome Set	12128	N/A	N/A	Firmicutes
13414_6_50_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_.13414_6_50.29	Genome Set	12088	N/A	ICE	Firmicutes
NZ_DS990135.1_Bacteroides_plebeius_DSM_17135_Scfld_02_18_genomic_scaffold__whole_genome_shotgun_sequence	Genome Set	153719	rep_cluster_1702	ICE	Bacteroidetes
